date,Upper BBand,Middle BBand,Lower BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-04 19:00:00,551.1784,543.3164,535.4544,541.7775,57.9236,543.3164,1.5806,1.0924,546.5
2021-02-04 18:00:00,550.9543,543.1737,535.393,541.4518,57.7136,543.1737,1.436,0.9704,546.24
2021-02-04 17:00:00,550.7442,543.0424,535.3406,541.1216,58.0475,543.0424,1.257,0.854,546.55
2021-02-04 16:00:00,550.4944,542.9,535.3057,540.7472,58.0684,542.9,0.9786,0.7533,546.57
2021-02-04 15:00:00,550.2221,542.6727,535.1232,540.3456,55.2583,542.6727,0.6071,0.6969,542.97
2021-02-04 14:00:00,550.2321,542.5124,534.7926,540.1646,55.4379,542.5124,0.4907,0.7194,543.15
2021-02-04 13:00:00,550.2839,542.3,534.3161,539.9588,56.4326,542.3,0.3165,0.7766,544.16
2021-02-04 12:00:00,550.2172,542.0737,533.9301,539.669,53.6423,542.0737,-0.0131,0.8916,540.655
2021-02-04 11:00:00,550.392,541.8908,533.3896,539.601,52.0237,541.8908,-0.0768,1.1178,538.745
2021-02-04 10:00:00,550.4772,541.8078,533.1384,539.66,49.4433,541.8078,0.0374,1.4164,535.8566
2021-02-04 09:00:00,550.5537,541.7693,532.9848,539.9224,52.4262,541.7693,0.4768,1.7612,539.0175
2021-02-04 08:00:00,550.6543,541.662,532.6697,539.9848,51.9676,541.662,0.7088,2.0823,538.5
2021-02-04 07:00:00,550.8536,541.512,532.1704,540.0872,51.9676,541.512,1.0474,2.4256,538.5
2021-02-04 05:00:00,550.9555,541.4037,531.8518,540.1966,52.7947,541.4037,1.4643,2.7702,539.4
2021-02-03 20:00:00,551.1834,541.192,531.2006,540.2516,54.5671,541.192,1.8834,3.0967,541.3
2021-02-03 19:00:00,551.4885,540.8487,530.2089,540.1792,54.9424,540.8487,2.1976,3.4,541.7
2021-02-03 18:00:00,551.6961,540.492,529.2879,540.0744,55.1257,540.492,2.5258,3.7006,541.9
2021-02-03 17:00:00,551.9978,540.057,528.1162,539.9485,54.4649,540.057,2.8877,3.9943,541.0
2021-02-03 16:00:00,552.252,539.6487,527.0454,539.8759,54.5685,539.6487,3.3993,4.2709,541.12
2021-02-03 15:00:00,552.3656,539.2607,526.1557,539.7901,58.2536,539.2607,3.9905,4.4888,545.25
2021-02-03 14:00:00,552.2185,538.6757,525.1329,539.4136,57.658,538.6757,4.2666,4.6134,544.36
2021-02-03 13:00:00,551.9287,538.1884,524.4481,539.0725,58.0992,538.1884,4.6476,4.7001,544.85
2021-02-03 12:00:00,551.5562,537.658,523.7599,538.674,58.002,537.658,5.0163,4.7133,544.6967
2021-02-03 11:00:00,551.3838,536.9918,522.5998,538.2587,62.1794,536.9918,5.4296,4.6375,549.29
2021-02-03 10:00:00,551.03,535.9785,520.927,537.4979,69.987,535.9785,5.4104,4.4395,556.65
2021-02-03 09:00:00,548.9111,534.7278,520.5445,536.177,63.9602,534.7278,4.5579,4.1967,546.51
2021-02-03 08:00:00,547.9111,534.0108,520.1105,535.4644,63.12,534.0108,4.4359,4.1064,545.32
2021-02-03 07:00:00,547.0231,533.2835,519.5438,534.7847,61.99,533.2835,4.3369,4.024,543.75
2021-02-02 20:00:00,546.214,532.6085,519.0029,534.1664,61.7954,532.6085,4.3072,3.9458,543.48
2021-02-02 19:00:00,545.3347,531.9258,518.5169,533.5241,60.3565,531.9258,4.2342,3.8555,541.5
2021-02-02 18:00:00,544.5197,531.3758,518.2319,532.9741,61.1663,531.3758,4.281,3.7608,542.22
2021-02-02 17:00:00,543.9458,530.5601,517.1745,532.3364,61.2545,530.5601,4.2052,3.6307,542.3
2021-02-02 16:00:00,543.1042,529.7635,516.4227,531.6493,61.241,529.7635,4.0391,3.4871,542.28
2021-02-02 15:00:00,542.0669,528.9705,515.874,530.9161,59.5139,528.9705,3.7704,3.349,539.75
2021-02-02 14:00:00,541.3068,528.2345,515.1622,530.3069,58.3873,528.2345,3.6302,3.2437,538.16
2021-02-02 13:00:00,540.5358,527.5968,514.6577,529.7653,57.3918,527.5968,3.5604,3.1471,536.7789
2021-02-02 12:00:00,539.844,526.9982,514.1523,529.2816,57.9655,526.9982,3.56,3.0438,537.37
2021-02-02 11:00:00,538.971,526.3668,513.7626,528.7238,56.3974,526.3668,3.4476,2.9147,535.17
2021-02-02 10:00:00,538.2877,525.8078,513.328,528.2792,57.4186,525.8078,3.478,2.7815,536.255
2021-02-02 09:00:00,537.2789,525.411,513.5431,527.7292,56.3229,525.411,3.3557,2.6073,534.7
2021-02-02 08:00:00,536.4978,525.1332,513.7685,527.2484,57.3317,525.1332,3.3092,2.4202,535.8
2021-02-02 07:00:00,535.3782,524.6368,513.8955,526.6586,56.0876,524.6368,3.0896,2.198,534.0
2021-02-02 06:00:00,534.4373,524.2538,514.0703,526.1523,57.2073,524.2538,2.9478,1.975,535.25
2021-02-02 05:00:00,533.2217,523.6955,514.1693,525.5249,55.7027,523.6955,2.5965,1.7319,533.05
2021-02-01 20:00:00,532.2679,523.1965,514.1251,525.0059,54.2539,523.1965,2.3344,1.5157,531.0
2021-02-01 19:00:00,531.645,522.6965,513.748,524.5926,54.2539,522.6965,2.1747,1.311,531.0
2021-02-01 18:00:00,530.793,522.3898,513.9866,524.1507,52.739,522.3898,1.9391,1.0951,528.85
2021-02-01 17:00:00,530.1925,522.1282,514.0639,523.8266,52.6685,522.1282,1.8292,0.8841,528.75
2021-02-01 16:00:00,529.6268,521.9365,514.2462,523.487,53.2286,521.9365,1.6725,0.6478,529.48
2021-02-01 15:00:00,528.8326,521.6705,514.5084,523.0737,52.0261,521.6705,1.3738,0.3917,527.7001
2021-02-01 14:00:00,528.2833,521.4782,514.6731,522.7547,53.5514,521.4782,1.1538,0.1461,529.74
2021-02-01 13:00:00,528.0166,521.4298,514.843,522.2729,53.0294,521.4298,0.6486,-0.1058,528.94
2021-02-01 12:00:00,528.6537,521.5318,514.41,521.8131,50.1666,521.5318,0.0757,-0.2944,524.71
2021-02-01 11:00:00,529.2714,521.6878,514.1043,521.6133,45.7706,521.6878,-0.2259,-0.3869,518.8899
2021-02-01 10:00:00,529.5713,521.9195,514.2677,521.8011,45.9321,521.9195,-0.015,-0.4272,519.1299
2021-02-01 09:00:00,529.6966,522.0818,514.4671,521.9854,50.1132,522.0818,0.23,-0.5302,525.0
2021-02-01 08:00:00,529.4864,521.9238,514.3613,521.7775,48.9657,521.9238,-0.0584,-0.7203,523.5
2021-02-01 07:00:00,529.3792,521.8222,514.2651,521.6587,48.9657,521.8222,-0.2728,-0.8857,523.5
2021-02-01 06:00:00,529.2904,521.6388,513.9872,521.5317,48.5974,521.6388,-0.5426,-1.039,523.0
2021-02-01 05:00:00,529.5389,521.3058,513.0727,521.4304,49.9924,521.3058,-0.8281,-1.1631,525.0
2021-01-29 20:00:00,529.9794,520.7758,511.5723,521.1842,44.3998,520.7758,-1.3841,-1.2468,517.75
2021-01-29 19:00:00,530.3815,520.5402,510.6988,521.4211,44.8343,520.5402,-1.3354,-1.2125,518.4
2021-01-29 18:00:00,530.4132,520.4542,510.4951,521.6294,44.8931,520.4542,-1.3201,-1.1817,518.49
2021-01-29 17:00:00,530.5091,520.3045,510.0999,521.8459,44.2491,520.3045,-1.2905,-1.1472,517.67
2021-01-29 16:00:00,530.6098,520.1725,509.7352,522.1339,45.094,520.1725,-1.1504,-1.1113,519.03
2021-01-29 15:00:00,530.5964,520.1088,509.6213,522.348,44.9371,520.1088,-1.0934,-1.1016,518.82
2021-01-29 14:00:00,530.5855,520.0498,509.5142,522.5913,44.6531,520.0498,-0.9833,-1.1036,518.43
2021-01-29 13:00:00,530.5974,519.9558,509.3142,522.8783,44.6318,519.9558,-0.7887,-1.1337,518.4
2021-01-29 12:00:00,530.6532,520.0258,509.3985,523.1871,48.1759,520.0258,-0.5259,-1.22,524.35
2021-01-29 11:00:00,530.6133,520.0102,509.407,523.107,49.4617,520.0102,-0.7886,-1.3935,526.365
2021-01-29 10:00:00,530.0856,519.721,509.3563,522.8823,45.6668,519.721,-1.3176,-1.5447,520.91
2021-01-29 09:00:00,530.3794,519.8546,509.3299,523.0183,46.6602,519.8546,-1.4183,-1.6014,522.51
2021-01-29 08:00:00,530.3611,519.8453,509.3295,523.0533,43.6928,519.8453,-1.689,-1.6472,518.5
2021-01-29 07:00:00,531.1965,520.1953,509.1941,523.3674,43.3738,520.1953,-1.6017,-1.6368,518.08
2021-01-29 05:00:00,531.8729,520.5336,509.1944,523.732,41.7954,520.5336,-1.4242,-1.6456,516.0
2021-01-28 20:00:00,532.9179,521.0506,509.1833,524.2652,45.1908,521.0506,-0.9651,-1.7009,521.8
2021-01-28 19:00:00,534.7349,521.5573,508.3797,524.4353,44.5906,521.5573,-0.9557,-1.8849,521.0
2021-01-28 18:00:00,537.0139,522.2043,507.3947,524.6722,45.8027,522.2043,-0.8483,-2.1172,523.0
2021-01-28 17:00:00,538.814,522.7543,506.6946,524.7875,44.7132,522.7543,-0.9025,-2.4344,521.5
2021-01-28 16:00:00,540.1774,523.2856,506.3939,525.0142,44.9636,523.2856,-0.8059,-2.8174,521.93
2021-01-28 15:00:00,541.593,523.8413,506.0896,525.2269,48.8788,523.8413,-0.7146,-3.3202,528.29
2021-01-28 14:00:00,542.5066,524.1486,505.7906,525.0157,51.4026,524.1486,-1.2353,-3.9716,532.0
2021-01-28 13:00:00,543.0937,524.329,505.5642,524.534,49.634,524.329,-2.2597,-4.6557,529.39
2021-01-28 12:00:00,544.0003,524.6326,505.265,524.1991,47.1029,524.6326,-3.2685,-5.2547,525.84
2021-01-28 11:00:00,545.1293,525.0756,505.0219,524.0859,45.7367,525.0756,-4.1471,-5.7513,524.0
2021-01-28 10:00:00,546.254,525.5806,504.9073,524.0919,42.8356,525.5806,-5.0209,-6.1523,520.26
2021-01-28 09:00:00,547.2526,526.1836,505.1147,524.3561,42.9483,526.1836,-5.6823,-6.4352,520.45
2021-01-28 08:00:00,548.5625,526.892,505.2215,524.6255,41.0128,526.892,-6.4632,-6.6234,518.0
2021-01-28 07:00:00,549.9484,527.743,505.5375,525.0824,36.7906,527.743,-7.1165,-6.6635,513.01
2021-01-28 06:00:00,550.8993,528.741,506.5827,525.915,33.1673,528.741,-7.3387,-6.5502,509.1
2021-01-28 05:00:00,551.5089,529.9143,508.3197,527.0747,33.9269,529.9143,-7.1175,-6.3531,510.68
2021-01-27 20:00:00,552.0725,531.055,510.0375,528.2053,36.5604,531.055,-6.8925,-6.162,515.82
2021-01-27 19:00:00,552.6559,531.9743,511.2927,529.0595,34.8289,531.9743,-7.0284,-5.9793,514.0
2021-01-27 18:00:00,552.9877,532.979,512.9703,530.0981,34.5538,532.979,-6.9143,-5.7171,513.71
2021-01-27 17:00:00,553.1336,534.018,514.9023,531.2283,36.2954,534.018,-6.6386,-5.4178,517.12
2021-01-27 16:00:00,553.4175,534.9573,516.4971,532.2013,36.2317,534.9573,-6.5373,-5.1126,517.05
2021-01-27 15:00:00,553.5882,535.9353,518.2824,533.2462,34.9362,535.9353,-6.3058,-4.7564,515.61
2021-01-27 14:00:00,553.1161,536.9026,520.6891,534.4625,37.4324,536.9026,-5.772,-4.369,520.5
2021-01-27 13:00:00,553.1462,537.771,522.3957,535.4254,39.3091,537.771,-5.5046,-4.0183,523.88
2021-01-27 12:00:00,552.9043,538.3663,523.8283,536.2217,33.3969,538.3663,-5.4275,-3.6467,517.689
2021-01-27 11:00:00,551.4951,539.1358,526.7766,537.4998,37.524,539.1358,-4.6196,-3.2015,524.92
2021-01-27 10:00:00,550.7622,539.4858,528.2094,538.3674,34.6185,539.4858,-4.2576,-2.847,522.23
2021-01-27 09:00:00,550.379,540.4175,530.456,539.4803,39.035,540.4175,-3.4597,-2.4944,529.0
2021-01-27 08:00:00,550.872,541.1495,531.427,540.2031,38.1677,541.1495,-3.0803,-2.253,528.23
2021-01-27 07:00:00,551.0221,541.9102,532.7983,541.0288,40.5427,541.9102,-2.4728,-2.0462,531.51
2021-01-27 06:00:00,551.9231,542.6595,533.3959,541.6853,45.0814,542.6595,-1.9954,-1.9396,537.0
2021-01-27 05:00:00,552.9257,543.1935,533.4613,542.0084,48.33,543.1935,-1.9161,-1.9256,540.41
2021-01-26 20:00:00,554.229,543.6795,533.13,542.1186,47.3513,543.6795,-2.1341,-1.928,539.5
2021-01-26 19:00:00,554.5826,543.9918,533.401,542.2992,45.0747,543.9918,-2.2887,-1.8765,537.44
2021-01-26 18:00:00,554.7811,544.3602,533.9392,542.6343,46.1612,544.3602,-2.243,-1.7734,538.6
2021-01-26 17:00:00,554.9587,544.6785,534.3983,542.9126,44.956,544.6785,-2.2702,-1.656,537.51
2021-01-26 16:00:00,555.001,545.0198,535.0387,543.2851,44.8465,545.0198,-2.1609,-1.5024,537.41
2021-01-26 15:00:00,555.0316,545.3895,535.7474,543.6903,45.8066,545.3895,-1.9797,-1.3378,538.5
2021-01-26 14:00:00,555.3804,545.8302,536.2799,544.0483,46.3611,545.8302,-1.8307,-1.1773,539.13
2021-01-26 13:00:00,555.5874,546.2165,536.8456,544.3875,46.3784,546.2165,-1.678,-1.0139,539.15
2021-01-26 12:00:00,555.5662,546.5347,537.5031,544.7487,45.5966,546.5347,-1.4607,-0.8479,538.35
2021-01-26 11:00:00,555.435,546.892,538.349,545.19,48.4564,546.892,-1.0807,-0.6947,541.7
2021-01-26 10:00:00,555.4638,547.1227,538.7815,545.4307,50.1162,547.1227,-0.921,-0.5982,543.53
2021-01-26 09:00:00,555.6794,547.3583,539.0371,545.5617,49.5872,547.3583,-0.8902,-0.5175,542.95
2021-01-26 08:00:00,555.83,547.6063,539.3825,545.7419,50.7994,547.6063,-0.7788,-0.4243,544.3
2021-01-26 07:00:00,555.8826,547.7463,539.6099,545.8413,51.3386,547.7463,-0.7627,-0.3357,544.9
2021-01-25 20:00:00,555.9255,547.8569,539.7884,545.9062,50.0575,547.8569,-0.7922,-0.2289,543.4
2021-01-25 19:00:00,556.0141,548.0809,540.1477,546.0791,50.694,548.0809,-0.6656,-0.0881,544.14
2021-01-25 18:00:00,556.1519,548.3016,540.4513,546.2128,51.3248,548.3016,-0.5697,0.0563,544.88
2021-01-25 17:00:00,556.2855,548.4956,540.7057,546.3047,51.6776,548.4956,-0.5143,0.2128,545.3
2021-01-25 16:00:00,556.3978,548.6689,540.94,546.374,52.5845,548.6689,-0.4789,0.3945,546.39
2021-01-25 15:00:00,556.624,548.8549,541.0859,546.3729,51.2492,548.8549,-0.5377,0.6129,544.63
2021-01-25 14:00:00,556.787,549.1013,541.4155,546.4931,52.8178,549.1013,-0.4257,0.9005,546.55
2021-01-25 13:00:00,557.2525,549.3729,541.4934,546.4892,49.0406,549.3729,-0.4722,1.232,541.74
2021-01-25 12:00:00,556.9566,549.567,542.1774,546.8167,48.237,549.567,-0.0348,1.6581,540.775
2021-01-25 11:00:00,556.5258,549.7322,542.9386,547.2334,43.4533,549.7322,0.6222,2.0813,535.42
2021-01-25 10:00:00,554.8786,550.0002,545.1217,548.0481,57.648,550.0002,1.9969,2.4461,550.18
2021-01-25 09:00:00,555.0675,549.8125,544.5575,547.901,58.6263,549.8125,2.2198,2.5584,550.96
2021-01-25 08:00:00,555.3031,549.5525,543.8019,547.6901,58.7375,549.5525,2.3924,2.6431,551.05
2021-01-25 07:00:00,555.7715,549.2013,542.6312,547.4584,62.4791,549.2013,2.5689,2.7057,553.99
2021-01-25 06:00:00,556.7147,548.558,540.4013,547.0079,61.701,548.558,2.4573,2.7399,553.02
2021-01-25 05:00:00,557.1349,547.9907,538.8465,546.5933,64.3196,547.9907,2.378,2.8106,554.99
2021-01-22 20:00:00,557.0866,547.3577,537.6287,546.0142,59.1079,547.3577,2.0416,2.9187,548.87
2021-01-22 19:00:00,557.3555,546.962,536.5685,545.8172,58.7462,546.962,2.2056,3.138,548.49
2021-01-22 18:00:00,557.4721,546.6123,535.7526,545.6329,58.4282,546.6123,2.4216,3.3711,548.15
2021-01-22 17:00:00,557.7349,546.1923,534.6498,545.4593,58.0605,546.1923,2.6967,3.6085,547.75
2021-01-22 16:00:00,557.9444,545.7773,533.6103,545.3013,59.0064,545.7773,3.0493,3.8364,548.5
2021-01-22 15:00:00,558.0452,545.327,532.6088,545.0807,63.2855,545.327,3.3786,4.0332,551.72
2021-01-22 14:00:00,557.8121,544.7543,531.6966,544.6229,62.4684,544.7543,3.4219,4.1968,550.72
2021-01-22 13:00:00,557.577,544.2143,530.8517,544.2024,60.7589,544.2143,3.5293,4.3906,548.695
2021-01-22 12:00:00,557.4436,543.7372,530.0307,543.8925,61.2584,543.7372,3.8212,4.6059,549.07
2021-01-22 11:00:00,557.3107,543.1875,529.0643,543.5355,60.8854,543.1875,4.0999,4.8021,548.62
2021-01-22 10:00:00,557.0952,542.669,528.2428,543.1848,63.4818,542.669,4.442,4.9776,550.5976
2021-01-22 09:00:00,556.7284,542.0111,527.2937,542.6736,63.3231,542.0111,4.6125,5.1115,550.39
2021-01-22 08:00:00,556.2115,541.3907,526.5699,542.1414,61.8644,541.3907,4.7842,5.2362,548.5
2021-01-22 07:00:00,555.8669,540.7907,525.7145,541.7029,61.646,540.7907,5.1263,5.3492,548.22
2021-01-22 06:00:00,555.7807,540.0434,524.3061,541.2534,64.0527,540.0434,5.5168,5.405,550.12
2021-01-22 05:00:00,555.4196,539.1894,522.9592,540.6419,64.8775,539.1894,5.7415,5.377,550.76
2021-01-21 20:00:00,554.7461,538.3307,521.9154,539.9441,64.8365,538.3307,5.8797,5.2859,550.7
