date,Middle BBand,Upper BBand,Lower BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-17 15:00:00,22.8848,23.8034,21.9661,22.7798,65.3899,22.8848,0.2923,0.2371,23.2095
2021-02-17 14:00:00,22.8304,23.8531,21.8077,22.7502,64.8052,22.8304,0.3061,0.2444,23.1602
2021-02-17 13:00:00,22.7783,23.8843,21.6722,22.7219,63.3073,22.7783,0.3215,0.2552,23.0369
2021-02-17 12:00:00,22.7284,23.9154,21.5414,22.7002,62.4419,22.7284,0.338,0.2778,22.9679
2021-02-17 11:00:00,22.6814,23.9364,21.4263,22.6817,64.9815,22.6814,0.3531,0.3096,23.0862
2021-02-17 10:00:00,22.6317,23.9357,21.3278,22.6538,65.0049,22.6317,0.3639,0.3337,23.0873
2021-02-17 09:00:00,22.5793,23.9314,21.2271,22.6239,70.5697,22.5793,0.3715,0.3594,23.3328
2021-02-17 08:00:00,22.5132,23.9048,21.1216,22.5751,70.8051,22.5132,0.3745,0.362,23.3426
2021-02-17 07:00:00,22.4435,23.8709,21.0161,22.5221,69.8323,22.4435,0.3777,0.3591,23.244
2021-02-17 06:00:00,22.3676,23.8575,20.8776,22.4723,69.1364,22.3676,0.3823,0.3602,23.175
2021-02-17 05:00:00,22.2949,23.8321,20.7577,22.4239,68.9386,22.2949,0.3878,0.3634,23.1552
2021-02-16 20:00:00,22.2236,23.7928,20.6544,22.3734,66.6659,22.2236,0.3939,0.3642,22.9383
2021-02-16 19:00:00,22.1601,23.7622,20.5581,22.3345,67.5344,22.1601,0.4014,0.3821,22.9777
2021-02-16 18:00:00,22.0967,23.7148,20.4786,22.2901,69.0562,22.0967,0.4062,0.3952,23.0468
2021-02-16 17:00:00,22.0283,23.6534,20.4032,22.2379,67.8559,22.0283,0.4089,0.3993,22.9284
2021-02-16 16:00:00,21.9639,23.5944,20.3334,22.1903,67.137,21.9639,0.4113,0.4107,22.8594
2021-02-16 15:00:00,21.9001,23.5352,20.2651,22.1442,67.9767,21.9001,0.4115,0.4263,22.8988
2021-02-16 14:00:00,21.837,23.4591,20.2149,22.0921,67.2339,21.837,0.4077,0.436,22.8249
2021-02-16 13:00:00,21.7787,23.3803,20.1771,22.0416,67.3346,21.7787,0.4007,0.4496,22.8298
2021-02-16 12:00:00,21.7177,23.2936,20.1417,21.9872,66.0575,21.7177,0.3885,0.4598,22.7016
2021-02-16 11:00:00,21.6616,23.2131,20.1102,21.938,69.1746,21.6616,0.3706,0.4793,22.8545
2021-02-16 10:00:00,21.5999,23.1032,20.0966,21.8747,70.549,21.5999,0.3435,0.4816,22.9198
2021-02-16 09:00:00,21.5376,22.9702,20.1049,21.8027,69.9278,21.5376,0.3089,0.471,22.8495
2021-02-16 08:00:00,21.4798,22.8338,20.1258,21.7305,73.7284,21.4798,0.2684,0.4576,23.027
2021-02-16 07:00:00,21.414,22.6473,20.1808,21.6411,76.4045,21.414,0.2211,0.4159,23.1454
2021-02-16 06:00:00,21.3434,22.4023,20.2844,21.5373,75.9115,21.3434,0.1724,0.3445,23.0764
2021-02-16 05:00:00,21.2737,22.1214,20.426,21.4312,76.7979,21.2737,0.1294,0.2554,23.1158
2021-02-12 20:00:00,21.2069,21.7086,20.7052,21.315,58.3417,21.2069,0.0979,0.1339,21.5675
2021-02-12 19:00:00,21.1915,21.6761,20.7069,21.2976,58.6288,21.1915,0.0889,0.1346,21.5774
2021-02-12 18:00:00,21.1714,21.64,20.7029,21.2783,59.4778,21.1714,0.0775,0.1325,21.607
2021-02-12 17:00:00,21.1566,21.5964,20.7169,21.2556,58.9025,21.1566,0.0637,0.1249,21.5774
2021-02-12 16:00:00,21.1451,21.5575,20.7328,21.2334,59.4464,21.1451,0.0484,0.1164,21.5971
2021-02-12 15:00:00,21.1326,21.5108,20.7545,21.2083,58.3707,21.1326,0.0314,0.1018,21.54
2021-02-12 14:00:00,21.1217,21.4699,20.7736,21.1855,58.8371,21.1217,0.0139,0.0875,21.5577
2021-02-12 13:00:00,21.1127,21.4276,20.7978,21.1598,59.8704,21.1127,-0.0046,0.0663,21.5971
2021-02-12 12:00:00,21.1004,21.3631,20.8376,21.1296,58.3685,21.1004,-0.0223,0.0341,21.5133
2021-02-12 11:00:00,21.089,21.3046,20.8734,21.1032,55.2239,21.089,-0.0364,0.0011,21.3506
2021-02-12 10:00:00,21.0871,21.2943,20.88,21.0861,53.1507,21.0871,-0.0457,-0.0245,21.2519
2021-02-12 09:00:00,21.0906,21.3116,20.8696,21.0747,46.1626,21.0906,-0.051,-0.0467,20.966
2021-02-12 08:00:00,21.0957,21.3119,20.8794,21.0822,46.8616,21.0957,-0.0521,-0.0453,20.9955
2021-02-12 07:00:00,21.1004,21.314,20.8869,21.0882,47.3234,21.1004,-0.0538,-0.0458,21.0153
2021-02-12 06:00:00,21.0991,21.3152,20.883,21.0932,47.7785,21.0991,-0.0558,-0.0479,21.035
2021-02-12 05:00:00,21.0962,21.318,20.8743,21.0972,48.6838,21.0962,-0.0578,-0.0518,21.0744
2021-02-11 20:00:00,21.0912,21.3212,20.8612,21.0988,46.7326,21.0912,-0.0593,-0.06,20.9955
2021-02-11 19:00:00,21.0971,21.3261,20.8682,21.1059,46.7326,21.0971,-0.0592,-0.0617,20.9955
2021-02-11 18:00:00,21.1063,21.3404,20.8723,21.1135,45.523,21.1063,-0.0585,-0.0628,20.9462
2021-02-11 17:00:00,21.1234,21.3818,20.865,21.1251,46.7525,21.1234,-0.0575,-0.0584,21.0053
2021-02-11 16:00:00,21.1422,21.4419,20.8425,21.1333,48.2261,21.1422,-0.0572,-0.0579,21.0744
2021-02-11 15:00:00,21.157,21.4843,20.8296,21.1374,46.4815,21.157,-0.057,-0.0635,21.0005
2021-02-11 14:00:00,21.1719,21.5102,20.8337,21.1468,46.8888,21.1719,-0.0554,-0.0622,21.0202
2021-02-11 13:00:00,21.1862,21.5337,20.8387,21.1556,46.4808,21.1862,-0.0537,-0.0616,21.0024
2021-02-11 12:00:00,21.2029,21.5615,20.8444,21.1661,47.4198,21.2029,-0.0518,-0.0581,21.0498
2021-02-11 11:00:00,21.2174,21.5849,20.8498,21.1741,48.7486,21.2174,-0.0502,-0.0577,21.1159
2021-02-11 10:00:00,21.2288,21.6043,20.8534,21.1782,47.4309,21.2288,-0.0483,-0.063,21.0547
2021-02-11 09:00:00,21.2367,21.607,20.8663,21.1867,46.791,21.2367,-0.0446,-0.0626,21.0251
