date,Lower BBand,Middle BBand,Upper BBand,EMA,RSI,SMA,MACD,MACD Signal,Closing Price
2021-02-16 19:00:00,34.443,34.7115,34.98,34.7069,48.7343,34.7115,-0.0035,0.0112,34.69
2021-02-16 18:00:00,34.4333,34.7072,34.9811,34.708,49.0395,34.7072,-0.0024,0.0148,34.7
2021-02-16 17:00:00,34.4127,34.6995,34.9863,34.7086,47.4487,34.6995,-0.0019,0.0191,34.65
2021-02-16 16:00:00,34.3928,34.6929,34.993,34.7126,48.6225,34.6929,0.0038,0.0244,34.69
2021-02-16 15:00:00,34.3723,34.6849,34.9974,34.7142,47.6842,34.6849,0.0069,0.0295,34.66
2021-02-16 14:00:00,34.3502,34.6769,35.0035,34.7179,47.8249,34.6769,0.0139,0.0352,34.665
2021-02-16 13:00:00,34.3318,34.6694,35.0069,34.7216,48.6577,34.6694,0.0221,0.0405,34.695
2021-02-16 12:00:00,34.3154,34.6614,35.0073,34.7234,47.1758,34.6614,0.0292,0.0451,34.645
2021-02-16 11:00:00,34.2966,34.6537,35.0108,34.7288,47.7082,34.6537,0.0429,0.0491,34.665
2021-02-16 10:00:00,34.2699,34.6432,35.0165,34.7332,47.1897,34.6432,0.0578,0.0506,34.647
2021-02-16 09:00:00,34.2486,34.6341,35.0196,34.7392,54.2048,34.6341,0.0777,0.0488,34.89
2021-02-16 08:00:00,34.241,34.6196,34.9982,34.7288,54.2048,34.6196,0.0773,0.0416,34.89
2021-02-16 07:00:00,34.2374,34.6057,34.9741,34.7177,58.197,34.6057,0.0756,0.0327,35.01
2021-02-16 06:00:00,34.2556,34.5974,34.9391,34.6975,57.9475,34.5974,0.0601,0.0219,35.0
2021-02-16 05:00:00,34.2752,34.5897,34.9042,34.6766,56.1777,34.5897,0.0405,0.0124,34.93
2021-02-12 20:00:00,34.2774,34.589,34.9007,34.6592,50.0857,34.589,0.0221,0.0054,34.72
2021-02-12 19:00:00,34.2743,34.5917,34.9092,34.655,49.1087,34.5917,0.0196,0.0012,34.69
2021-02-12 18:00:00,34.2734,34.5934,34.9134,34.6525,48.1239,34.5934,0.0192,-0.0034,34.6599
2021-02-12 17:00:00,34.273,34.5954,34.9178,34.652,49.3538,34.5954,0.0214,-0.0091,34.7
2021-02-12 16:00:00,34.2725,34.5964,34.9202,34.6487,49.9695,34.5964,0.0199,-0.0167,34.72
2021-02-12 15:00:00,34.2723,34.5967,34.9211,34.6438,47.9286,34.5967,0.0156,-0.0259,34.655
2021-02-12 14:00:00,34.2721,34.5989,34.9257,34.643,51.5233,34.5989,0.0166,-0.0362,34.77
2021-02-12 13:00:00,34.273,34.5979,34.9227,34.6343,53.2905,34.5979,0.0058,-0.0494,34.8226
2021-02-12 12:00:00,34.2756,34.5961,34.9167,34.6213,53.7103,34.5961,-0.0133,-0.0633,34.835
2021-02-12 11:00:00,34.2762,34.5958,34.9153,34.6066,50.884,34.5958,-0.0388,-0.0757,34.7413
2021-02-12 10:00:00,34.2723,34.5987,34.9251,34.5973,46.6388,34.5987,-0.0613,-0.085,34.615
2021-02-12 09:00:00,34.2676,34.6067,34.9459,34.596,40.0963,34.6067,-0.0762,-0.0909,34.4499
2021-02-12 08:00:00,34.2724,34.6216,34.9707,34.6061,41.2848,34.6216,-0.0773,-0.0946,34.49
2021-02-12 07:00:00,34.2725,34.6367,35.0009,34.6141,41.5819,34.6367,-0.0817,-0.0989,34.5
2021-02-12 06:00:00,34.2696,34.6537,35.0379,34.622,43.0804,34.6537,-0.0871,-0.1032,34.55
2021-02-12 05:00:00,34.2648,34.6697,35.0747,34.627,43.3826,34.6697,-0.0979,-0.1072,34.56
2021-02-11 20:00:00,34.2577,34.6874,35.1172,34.6316,39.7021,34.6874,-0.1112,-0.1095,34.47
2021-02-11 19:00:00,34.2628,34.7081,35.1534,34.6427,38.8481,34.7081,-0.1174,-0.109,34.45
2021-02-11 18:00:00,34.2744,34.7294,35.1844,34.656,38.8481,34.7294,-0.1216,-0.1069,34.45
2021-02-11 17:00:00,34.2963,34.7464,35.1965,34.6702,37.6096,34.7464,-0.1252,-0.1033,34.42
2021-02-11 16:00:00,34.3249,34.7644,35.2039,34.6875,38.107,34.7644,-0.1249,-0.0978,34.44
2021-02-11 15:00:00,34.3542,34.7814,35.2087,34.7046,38.4759,34.7814,-0.1248,-0.091,34.455
2021-02-11 14:00:00,34.3842,34.7982,35.2123,34.7218,36.9013,34.7982,-0.1243,-0.0825,34.415
2021-02-11 13:00:00,34.4237,34.8167,35.2097,34.7429,34.2583,34.8167,-0.1178,-0.0721,34.35
2021-02-11 12:00:00,34.4791,34.8399,35.2007,34.77,34.8002,34.8399,-0.1012,-0.0606,34.375
2021-02-11 11:00:00,34.5404,34.8592,35.1781,34.7973,36.5908,34.8592,-0.081,-0.0505,34.455
2021-02-11 10:00:00,34.5926,34.8741,35.1555,34.8209,36.9956,34.8741,-0.0623,-0.0429,34.4726
2021-02-11 09:00:00,34.6464,34.886,35.1256,34.8449,44.8235,34.886,-0.0392,-0.038,34.76
2021-02-11 08:00:00,34.6562,34.8931,35.1301,34.8508,45.1448,34.8931,-0.0385,-0.0377,34.77
2021-02-11 07:00:00,34.6633,34.8961,35.129,34.8563,49.9944,34.8961,-0.038,-0.0375,34.91
2021-02-11 06:00:00,34.658,34.8928,35.1276,34.8526,45.5519,34.8928,-0.0512,-0.0374,34.8
2021-02-11 05:00:00,34.6596,34.8935,35.1274,34.8563,42.8761,34.8935,-0.0559,-0.034,34.74
2021-02-10 20:00:00,34.6716,34.8985,35.1253,34.8643,41.9569,34.8985,-0.0551,-0.0285,34.72
2021-02-10 19:00:00,34.6875,34.9045,35.1214,34.8742,42.2858,34.9045,-0.0512,-0.0218,34.73
2021-02-10 18:00:00,34.7016,34.9091,35.1167,34.8842,42.2858,34.9091,-0.0466,-0.0144,34.73
2021-02-10 17:00:00,34.7083,34.9108,35.1133,34.8948,41.8599,34.9108,-0.0399,-0.0064,34.72
2021-02-10 16:00:00,34.7155,34.9125,35.1095,34.9069,42.4657,34.9125,-0.0298,0.002,34.74
2021-02-10 15:00:00,34.721,34.9138,35.1066,34.9184,43.3758,34.9138,-0.0186,0.0099,34.77
2021-02-10 14:00:00,34.7223,34.9141,35.106,34.9286,45.0884,34.9141,-0.007,0.0171,34.825
2021-02-10 13:00:00,34.7208,34.9136,35.1065,34.9357,45.2297,34.9136,0.0024,0.0231,34.8295
2021-02-10 12:00:00,34.7161,34.9122,35.1082,34.9431,46.0193,34.9122,0.0137,0.0282,34.855
2021-02-10 11:00:00,34.7071,34.9092,35.1113,34.9491,47.2708,34.9092,0.0255,0.0319,34.895
2021-02-10 10:00:00,34.6982,34.9054,35.1126,34.9529,48.8768,34.9054,0.036,0.0335,34.945
2021-02-10 09:00:00,34.6862,34.8992,35.1123,34.9534,51.0567,34.8992,0.0439,0.0328,35.01
2021-02-10 08:00:00,34.6832,34.8934,35.1035,34.9495,51.7431,34.8934,0.0466,0.03,35.03
2021-02-10 07:00:00,34.6827,34.8872,35.0918,34.944,53.8422,34.8872,0.0474,0.0259,35.09
2021-02-10 06:00:00,34.6897,34.8839,35.0781,34.9339,53.8422,34.8839,0.0416,0.0205,35.09
2021-02-10 05:00:00,34.6975,34.8805,35.0636,34.9231,53.8422,34.8805,0.0337,0.0153,35.09
2021-02-09 20:00:00,34.7008,34.8795,35.0583,34.9116,49.8613,34.8795,0.023,0.0107,34.96
2021-02-09 19:00:00,34.6917,34.8839,35.076,34.9083,49.8613,34.8839,0.0222,0.0076,34.96
2021-02-09 18:00:00,34.6874,34.8869,35.0864,34.9047,49.5485,34.8869,0.021,0.0039,34.95
2021-02-09 17:00:00,34.686,34.8842,35.0824,34.9016,49.8491,34.8842,0.0201,-0.0004,34.96
2021-02-09 16:00:00,34.685,34.8812,35.0774,34.8976,50.1432,34.8812,0.0176,-0.0055,34.97
2021-02-09 15:00:00,34.6848,34.8782,35.0716,34.8926,52.3836,34.8782,0.0132,-0.0113,35.045
2021-02-09 14:00:00,34.6899,34.8734,35.0569,34.882,49.7808,34.8734,-0.0002,-0.0174,34.955
2021-02-09 13:00:00,34.6904,34.8724,35.0544,34.877,48.105,34.8724,-0.0082,-0.0217,34.9
2021-02-09 12:00:00,34.6905,34.8729,35.0553,34.8754,45.8834,34.8729,-0.0127,-0.0251,34.83
2021-02-09 11:00:00,34.6933,34.8765,35.0596,34.8786,50.1854,34.8765,-0.0111,-0.0282,34.975
2021-02-09 10:00:00,34.6929,34.8768,35.0607,34.8719,46.3273,34.8768,-0.0237,-0.0324,34.86
2021-02-09 09:00:00,34.6922,34.8816,35.071,34.8727,44.5214,34.8816,-0.0277,-0.0346,34.81
2021-02-09 08:00:00,34.6929,34.8896,35.0864,34.8771,44.8129,34.8896,-0.0273,-0.0364,34.82
2021-02-09 07:00:00,34.6976,34.8928,35.088,34.881,46.8904,34.8928,-0.0274,-0.0386,34.89
2021-02-09 06:00:00,34.6981,34.8958,35.0935,34.8804,47.1925,34.8958,-0.0343,-0.0414,34.9
2021-02-09 05:00:00,34.6979,34.8991,35.1004,34.879,46.187,34.8991,-0.0436,-0.0432,34.87
2021-02-08 20:00:00,34.6996,34.9031,35.1066,34.8796,43.0417,34.9031,-0.0517,-0.0432,34.78
