date,Middle BBand,Lower BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-03 10:00:00,239.9093,238.2162,241.6025,239.0995,58.6059,239.9093,0.5742,0.521,241.9751
2021-02-03 09:00:00,239.8212,238.3009,241.3415,238.9011,53.3594,239.8212,0.5875,0.3423,239.0518
2021-02-03 08:00:00,239.7261,237.7396,241.7126,238.8907,52.4649,239.7261,0.6488,0.407,238.6028
2021-02-03 07:00:00,239.5462,236.4936,242.5987,238.9106,56.1672,239.5462,0.7092,0.5293,240.1992
2021-02-03 06:00:00,239.3549,235.8108,242.8991,238.8217,55.5993,239.3549,0.7542,0.5152,239.8999
2021-02-03 05:00:00,239.1544,235.1107,243.1981,238.7474,54.9409,239.1544,0.814,0.5202,239.5507
2021-02-02 20:00:00,238.9831,234.6,243.3662,238.692,55.1669,238.9831,0.8875,0.5545,239.6504
2021-02-02 19:00:00,238.7919,234.0556,243.5282,238.6259,53.5034,238.7919,0.9707,0.5801,238.7525
2021-02-02 18:00:00,238.6303,233.5791,243.6814,238.6172,53.7605,238.6303,1.0683,0.6958,238.8722
2021-02-02 17:00:00,238.3769,232.6783,244.0754,238.5996,53.6348,238.3769,1.1615,0.8211,238.8024
2021-02-02 16:00:00,238.1244,231.879,244.3698,238.5856,53.8977,238.1244,1.2465,0.9763,238.9321
2021-02-02 15:00:00,237.8734,231.1879,244.5588,238.5617,57.727,237.8734,1.3141,1.1469,240.7479
2021-02-02 14:00:00,237.5578,230.5583,244.5572,238.4109,56.9306,237.5578,1.3559,1.1631,240.259
2021-02-02 13:00:00,237.2594,229.9884,244.5305,238.2834,55.94,237.2594,1.4041,1.2166,239.6554
2021-02-02 12:00:00,237.0331,229.6526,244.4136,238.1888,56.4482,237.0331,1.451,1.3287,239.8999
2021-02-02 11:00:00,236.784,229.3036,244.2644,238.0708,55.9907,236.784,1.4816,1.4275,239.6105
2021-02-02 10:00:00,236.5231,228.9104,244.1358,237.9646,56.9987,236.5231,1.4952,1.5623,240.1144
2021-02-02 09:00:00,236.3321,228.8022,243.8619,237.8164,58.3768,236.3321,1.4784,1.6604,240.7978
2021-02-02 08:00:00,236.1922,228.8457,243.5387,237.6108,59.2665,236.1922,1.4329,1.6919,241.2368
2021-02-02 07:00:00,236.009,228.9047,243.1133,237.3607,58.5164,236.009,1.3681,1.6627,240.698
2021-02-02 06:00:00,235.861,228.9719,242.7501,237.1305,59.2983,235.861,1.2945,1.6562,241.0971
2021-02-02 05:00:00,235.6475,229.029,242.266,236.857,58.8599,235.6475,1.204,1.5831,240.7679
2021-02-01 20:00:00,235.4469,229.1023,241.7916,236.5873,57.0721,235.4469,1.1093,1.5003,239.4509
2021-02-01 19:00:00,235.2933,229.1231,241.4635,236.3898,57.8826,235.2933,1.0115,1.5069,239.8899
2021-02-01 18:00:00,235.1044,229.166,241.0428,236.1484,56.9559,235.1044,0.8876,1.4488,239.2015
2021-02-01 17:00:00,234.9937,229.2441,240.7432,235.9378,56.6755,234.9937,0.7474,1.4235,238.9919
2021-02-01 16:00:00,234.8926,229.324,240.4611,235.7272,56.7606,234.8926,0.5783,1.392,239.0418
2021-02-01 15:00:00,234.8254,229.4122,240.2386,235.4986,58.6684,234.8254,0.3749,1.3263,240.1593
2021-02-01 14:00:00,234.6973,229.6238,239.7709,235.1772,59.5582,234.6973,0.1371,1.1095,240.6731
2021-02-01 13:00:00,234.621,229.8494,239.3926,234.7981,59.6006,234.621,-0.106,0.7643,240.698
2021-02-01 12:00:00,234.616,229.8696,239.3624,234.3913,58.0167,234.616,-0.3236,0.31,239.3312
2021-02-01 11:00:00,234.6892,229.5991,239.7793,234.0506,54.0228,234.6892,-0.482,-0.1351,236.1983
2021-02-01 10:00:00,234.8794,229.187,240.5718,233.9025,49.5942,234.8794,-0.5688,-0.3824,233.2052
2021-02-01 09:00:00,235.0893,229.1985,240.98,233.9505,51.6126,235.0893,-0.6154,-0.3876,234.4623
2021-02-01 08:00:00,235.2446,229.1848,241.3043,233.9152,50.7201,235.2446,-0.6723,-0.5167,233.8837
2021-02-01 07:00:00,235.3166,229.2719,241.3612,233.9174,51.5602,235.3166,-0.7112,-0.6149,234.4124
2021-02-01 06:00:00,235.2856,229.2134,241.3579,233.8833,50.8173,235.2856,-0.7353,-0.7853,233.9136
2021-02-01 05:00:00,235.2141,229.0295,241.3988,233.8812,50.8027,235.2141,-0.7228,-0.9405,233.9036
2021-01-29 20:00:00,235.1323,228.8169,241.4478,233.8796,46.7744,235.1323,-0.6684,-1.1238,231.2697
2021-01-29 19:00:00,235.0908,228.6588,241.5227,234.0596,46.7105,235.0908,-0.5545,-1.0734,231.2297
2021-01-29 18:00:00,235.0306,228.4238,241.6373,234.2548,46.9429,235.0306,-0.4248,-0.9893,231.4
2021-01-29 17:00:00,235.0495,228.4813,241.6177,234.4517,46.7619,235.0495,-0.2836,-0.8849,231.2796
2021-01-29 16:00:00,235.0492,228.4802,241.6181,234.6705,46.8003,235.0492,-0.1333,-0.7266,231.3096
2021-01-29 15:00:00,235.0711,228.5481,241.5942,234.9022,48.8147,235.0711,0.015,-0.5169,232.866
2021-01-29 14:00:00,235.0621,228.5262,241.598,235.0427,48.2069,235.0621,0.148,-0.4003,232.427
2021-01-29 13:00:00,235.0665,228.5374,241.5956,235.2231,47.3204,235.0665,0.285,-0.2009,231.7835
2021-01-29 12:00:00,235.0324,228.4249,241.6399,235.4603,50.7088,235.0324,0.4065,0.122,234.3825
2021-01-29 11:00:00,235.0047,228.3797,241.6298,235.5346,53.8961,235.0047,0.4777,0.2677,236.603
2021-01-29 10:00:00,235.0182,228.3786,241.6578,235.4609,52.7802,235.0182,0.5302,0.2238,235.7394
2021-01-29 09:00:00,234.9733,228.3356,241.611,235.4417,53.5326,234.9733,0.6068,0.2523,236.2582
2021-01-29 08:00:00,235.0348,228.3169,241.7526,235.3854,51.5154,235.0348,0.6954,0.2323,234.6918
2021-01-29 07:00:00,235.053,228.3361,241.77,235.4332,51.5982,235.053,0.8112,0.3629,234.7517
2021-01-29 06:00:00,235.1382,228.3741,241.9023,235.4803,51.7186,235.1382,0.9232,0.5181,234.8415
2021-01-29 05:00:00,235.1684,228.4018,241.9351,235.5243,50.9562,235.1684,1.0245,0.6996,234.2229
2021-01-28 20:00:00,235.2755,228.4705,242.0805,235.6141,53.1277,235.2755,1.1058,0.9841,235.8791
2021-01-28 19:00:00,235.3813,228.4447,242.3179,235.5958,53.2333,235.3813,1.1362,1.1642,235.9589
2021-01-28 18:00:00,235.506,228.3999,242.6121,235.5707,54.6386,235.506,1.1292,1.369,237.0265
2021-01-28 17:00:00,235.6174,228.3173,242.9175,235.4704,53.8573,235.6174,1.0692,1.5019,236.3181
2021-01-28 16:00:00,235.7854,228.2022,243.3686,235.4119,56.605,235.7854,0.961,1.7217,238.3833
2021-01-28 15:00:00,235.8263,228.1745,243.478,235.207,59.6911,235.8263,0.7709,1.7669,240.5484
2021-01-28 14:00:00,235.8629,228.1113,243.6144,234.8386,61.1465,235.8629,0.5219,1.5786,241.5261
2021-01-28 13:00:00,235.547,227.9742,243.1199,234.3774,61.7105,235.547,0.2577,1.2156,241.9053
2021-01-28 12:00:00,235.2493,228.0046,242.494,233.8582,59.4156,235.2493,0.0182,0.6961,239.5008
2021-01-28 11:00:00,235.0209,227.8957,242.1462,233.4691,59.0415,235.0209,-0.1513,0.2677,239.1216
2021-01-28 10:00:00,234.7674,227.7028,241.832,233.0792,55.8469,234.7674,-0.256,-0.2445,236.0437
2021-01-28 09:00:00,234.5953,227.4128,241.7777,232.8748,52.894,234.5953,-0.2589,-0.5812,233.4846
2021-01-28 08:00:00,234.5807,227.3876,241.7738,232.8327,50.7593,234.5807,-0.1783,-0.7419,231.7685
2021-01-28 07:00:00,234.5699,227.359,241.7809,232.9061,50.3547,234.5699,-0.0374,-0.7615,231.4492
2021-01-28 06:00:00,234.5679,227.3535,241.7824,233.0066,48.5277,234.5679,0.1437,-0.743,230.0225
2021-01-28 05:00:00,234.5879,227.4207,241.7551,233.2124,47.7478,234.5879,0.3653,-0.5633,229.4239
2021-01-27 20:00:00,234.5995,227.4649,241.7342,233.4737,50.9175,234.5995,0.5975,-0.2648,231.9681
2021-01-27 19:00:00,234.5064,227.1668,241.846,233.5775,50.0374,234.5064,0.8131,-0.139,231.2697
2021-01-27 18:00:00,234.4199,226.8717,241.9682,233.7367,50.92,234.4199,1.0511,0.0948,231.9681
2021-01-27 17:00:00,234.3285,226.5993,242.0576,233.8587,51.7136,234.3285,1.2902,0.3206,232.5966
2021-01-27 16:00:00,234.2161,226.2937,242.1384,233.9457,51.6674,234.2161,1.5326,0.5402,232.5567
2021-01-27 15:00:00,234.0967,225.9725,242.2208,234.0415,49.5668,234.0967,1.7807,0.8167,230.7608
2021-01-27 14:00:00,234.0438,225.8135,242.2741,234.2677,53.0313,234.0438,2.0217,1.3405,233.5534
2021-01-27 13:00:00,233.8918,225.465,242.3187,234.317,57.8658,233.8918,2.1919,1.7053,237.0065
2021-01-27 12:00:00,233.5949,225.0019,242.1879,234.1315,54.8541,233.5949,2.3136,1.7946,234.3925
2021-01-27 11:00:00,233.3853,224.5761,242.1944,234.1135,60.8177,233.3853,2.4433,2.1485,238.1021
2021-01-27 10:00:00,233.0165,224.1024,241.9306,233.8385,57.3611,233.0165,2.517,2.1914,235.2405
2021-01-27 09:00:00,232.7238,223.5484,241.8993,233.7418,61.1231,232.7238,2.5985,2.5055,237.3058
2021-01-27 08:00:00,232.3359,222.9855,241.6862,233.496,59.1724,232.3359,2.6217,2.6597,235.7494
2021-01-27 07:00:00,232.04,222.5795,241.5005,233.3406,62.4541,232.04,2.6122,2.9763,237.4355
2021-01-27 06:00:00,231.7347,222.4001,241.0694,233.0581,65.8375,231.7347,2.5212,3.1655,239.0518
2021-01-27 05:00:00,231.3772,222.3753,240.3791,232.6448,67.2505,231.3772,2.3601,3.1963,239.7003
2021-01-26 20:00:00,231.0101,222.5116,239.5086,232.1582,68.7202,231.0101,2.151,3.1231,240.3688
2021-01-26 19:00:00,230.6379,222.8644,238.4114,231.592,70.9344,230.6379,1.908,2.9162,241.3565
2021-01-26 18:00:00,230.2318,223.5434,236.9203,230.9185,69.2409,230.2318,1.6559,2.5092,239.6105
2021-01-26 17:00:00,229.7842,223.9197,235.6488,230.3191,74.1064,229.7842,1.4426,2.1309,241.6459
2021-01-26 16:00:00,229.2637,225.2107,233.3168,229.5379,61.9089,229.2637,1.2706,1.4099,232.051
2021-01-26 15:00:00,229.0764,225.0365,233.1163,229.3646,64.7463,229.0764,1.2358,1.446,232.9743
2021-01-26 14:00:00,228.8413,224.9169,232.7657,229.1157,64.1876,228.8413,1.1832,1.377,232.6492
2021-01-26 13:00:00,228.5971,224.7398,232.4545,228.872,62.1651,228.5971,1.1348,1.3021,231.5146
2021-01-26 12:00:00,228.4446,224.7006,232.1886,228.6897,60.9745,228.4446,1.0929,1.303,230.8805
2021-01-26 11:00:00,228.3049,224.6227,231.9872,228.5386,68.0529,228.3049,1.0404,1.3498,233.0486
2021-01-26 10:00:00,228.1013,224.8391,231.3634,228.2276,65.1597,228.1013,0.9631,1.1691,231.4443
2021-01-26 09:00:00,227.9709,224.9499,230.9919,228.0058,65.0551,227.9709,0.9116,1.0849,231.3894
2021-01-26 08:00:00,227.8988,225.1135,230.6841,227.7724,63.5746,227.8988,0.8683,0.9672,230.6211
2021-01-26 07:00:00,227.8366,225.219,230.4543,227.576,61.8499,227.8366,0.8435,0.8811,229.7731
2021-01-26 06:00:00,227.6866,225.0149,230.3583,227.4244,60.5761,227.6866,0.8342,0.8447,229.1745
2021-01-26 05:00:00,227.5569,224.81,230.3039,227.3037,59.4864,227.5569,0.8315,0.847,228.6756
2021-01-25 20:00:00,227.4272,224.5399,230.3145,227.2091,61.2877,227.4272,0.8277,0.8883,229.2243
2021-01-25 19:00:00,227.2526,224.1928,230.3124,227.0701,61.2877,227.2526,0.8125,0.8723,229.2243
2021-01-25 18:00:00,227.0887,223.9431,230.2342,226.9216,60.7833,227.0887,0.7976,0.8392,228.9749
2021-01-25 17:00:00,226.9457,223.7662,230.1251,226.78,61.402,226.9457,0.7872,0.8101,229.1745
2021-01-25 16:00:00,226.8053,223.6603,229.9504,226.6148,61.0571,226.8053,0.7814,0.7409,228.9949
2021-01-25 15:00:00,226.655,223.5118,229.7982,226.4507,59.3037,226.655,0.7915,0.6601,228.0989
2021-01-25 14:00:00,226.5345,223.3453,229.7238,226.337,59.3141,226.5345,0.8244,0.6385,228.1025
2021-01-25 13:00:00,226.4106,223.1861,229.6352,226.2153,57.1756,226.4106,0.8709,0.6014,227.0394
2021-01-25 12:00:00,226.3554,223.1191,229.5917,226.1584,55.9577,226.3554,0.9383,0.6534,226.4607
2021-01-25 11:00:00,226.3032,223.0251,229.5813,226.1376,54.2307,226.3032,1.0095,0.7693,225.6665
2021-01-25 10:00:00,226.3041,223.0266,229.5815,226.1701,57.5493,226.3041,1.0695,0.9869,226.8747
2021-01-25 09:00:00,226.2293,222.9052,229.5533,226.1215,61.79,226.2293,1.0901,1.1272,228.2765
2021-01-25 08:00:00,226.0873,222.7615,229.4132,225.9728,61.9471,226.0873,1.0809,1.1472,228.3264
2021-01-25 07:00:00,225.8999,222.4677,229.332,225.8105,63.0625,225.8999,1.0643,1.1509,228.6856
2021-01-25 06:00:00,225.7432,222.4063,229.0802,225.6123,64.6889,225.7432,1.0427,1.1024,229.2044
2021-01-25 05:00:00,225.566,222.424,228.7079,225.3645,64.6381,225.566,1.0277,0.9716,229.1745
2021-01-22 20:00:00,225.3831,222.4723,228.2938,225.1018,58.9178,225.3831,1.0418,0.7935,226.1813
2021-01-22 19:00:00,225.2866,222.2974,228.2759,225.0273,58.5941,225.2866,1.1038,0.8595,226.0317
2021-01-22 18:00:00,225.1785,222.0726,228.2844,224.9581,59.809,225.1785,1.1649,0.9464,226.4307
2021-01-22 17:00:00,225.1297,222.0582,228.2011,224.8565,58.755,225.1297,1.2195,1.003,225.9219
2021-01-22 16:00:00,225.0685,221.9894,228.1475,224.783,57.487,225.0685,1.2736,1.1124,225.3233
2021-01-22 15:00:00,225.0229,221.9199,228.1259,224.7457,62.502,225.0229,1.3139,1.2968,226.9396
2021-01-22 14:00:00,224.9245,221.8842,227.9647,224.5944,62.0073,224.9245,1.3182,1.3487,226.6901
2021-01-22 13:00:00,224.8237,221.8241,227.8233,224.4499,62.8059,224.8237,1.3106,1.4208,226.9389
