date,Upper BBand,Lower BBand,Middle BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-01 10:00:00,14.7529,13.5348,14.1439,14.0156,48.1632,14.1439,-0.0246,-0.0616,13.75
2021-02-01 09:00:00,14.7664,13.5086,14.1375,14.0339,50.974,14.1375,-0.0153,-0.0454,14.08
2021-02-01 08:00:00,14.7654,13.5043,14.1349,14.0308,51.5914,14.1349,-0.0078,-0.0577,14.15
2021-02-01 06:00:00,14.7675,13.5056,14.1365,14.0225,48.7634,14.1365,0.0047,-0.0796,13.82
2021-01-29 20:00:00,14.7665,13.5085,14.1375,14.0365,47.2281,14.1375,0.0258,-0.0729,13.65
2021-01-29 18:00:00,14.7544,13.5407,14.1475,14.0632,48.7224,14.1475,0.0505,-0.0459,13.83
2021-01-29 17:00:00,14.7512,13.5559,14.1535,14.0792,47.6551,14.1535,0.0746,-0.0291,13.71
2021-01-29 16:00:00,14.7409,13.5882,14.1645,14.1047,48.8006,14.1645,0.1005,0.005,13.85
2021-01-29 15:00:00,14.7411,13.612,14.1765,14.1223,47.314,14.1765,0.1243,0.0342,13.68
2021-01-29 14:00:00,14.7258,13.6579,14.1919,14.1528,49.1816,14.1919,0.1468,0.0883,13.91
2021-01-29 13:00:00,14.798,13.6491,14.2235,14.1695,49.5102,14.2235,0.1615,0.1325,13.95
2021-01-29 12:00:00,14.8826,13.6328,14.2577,14.1847,54.3828,14.2577,0.1687,0.1831,14.505
2021-01-29 11:00:00,14.8929,13.6295,14.2612,14.1626,57.3829,14.2612,0.1651,0.1884,14.81
2021-01-29 10:00:00,14.8542,13.6463,14.2502,14.1179,57.3082,14.2502,0.1593,0.1614,14.8
2021-01-29 09:00:00,14.8891,13.4992,14.1941,14.0709,52.4809,14.1941,0.1588,0.1256,14.2
2021-01-29 08:00:00,15.0353,13.2484,14.1418,14.062,52.9633,14.1418,0.1671,0.1392,14.25
2021-01-29 07:00:00,15.1085,13.0778,14.0931,14.049,52.1123,14.0931,0.1741,0.1494,14.15
2021-01-29 05:00:00,15.1468,12.9602,14.0535,14.042,52.3871,14.0535,0.1803,0.1704,14.18
2021-01-28 20:00:00,15.164,12.869,14.0165,14.0325,55.4003,14.0165,0.1827,0.1918,14.5
2021-01-28 19:00:00,15.1503,12.7873,13.9688,14.0003,53.7947,13.9688,0.1805,0.1836,14.3
2021-01-28 17:00:00,15.1323,12.742,13.9371,13.9796,54.6554,13.9371,0.1797,0.1909,14.3905
2021-01-28 16:00:00,15.1033,12.7016,13.9025,13.9513,55.1217,13.9025,0.1769,0.1882,14.44
2021-01-28 15:00:00,15.077,12.6359,13.8565,13.9176,55.0468,13.8565,0.1741,0.177,14.43
2021-01-28 14:00:00,15.0445,12.5771,13.8108,13.8822,53.932,13.8108,0.1733,0.1612,14.28
2021-01-28 13:00:00,15.0205,12.5184,13.7695,13.8548,52.4893,13.7695,0.1764,0.1539,14.09
