date,Lower BBBAND,Middle BBAND,Upper BBAND,EMA,RSI,SMA,MACD,MACD_Signal,Closing Price
2021-02-16 19:00:00,65.214,69.2268,73.2397,69.9495,59.6525,69.2268,1.6117,1.2192,74.1
2021-02-16 18:00:00,65.3421,69.1501,72.9582,69.8088,59.9066,69.1501,1.5937,1.121,74.2
2021-02-16 17:00:00,65.4896,69.0635,72.6373,69.6599,60.2853,69.0635,1.5374,1.0029,74.35
2021-02-16 16:00:00,65.6795,68.9783,72.2772,69.501,60.0202,68.9783,1.4279,0.8693,74.19
2021-02-16 15:00:00,65.8869,68.8945,71.9021,69.342,59.4209,68.8945,1.2836,0.7296,73.83
2021-02-16 14:00:00,66.096,68.8168,71.5376,69.1899,58.2234,68.8168,1.1174,0.5911,73.13
2021-02-16 13:00:00,66.2675,68.746,71.2244,69.0563,58.0844,68.746,0.9604,0.4595,73.05
2021-02-16 12:00:00,66.4667,68.6851,70.9036,68.9209,55.3108,68.6851,0.7541,0.3343,71.5324
2021-02-16 11:00:00,66.5498,68.6493,70.7488,68.8324,55.4001,68.6493,0.6344,0.2294,71.57
2021-02-16 10:00:00,66.6423,68.6169,70.5916,68.7396,55.0776,68.6169,0.4685,0.1281,71.4
2021-02-16 09:00:00,66.7366,68.5759,70.4153,68.6494,49.1188,68.5759,0.2673,0.0431,68.6
2021-02-16 08:00:00,66.7383,68.5779,70.4176,68.6511,50.3382,68.5779,0.2916,-0.013,69.12
2021-02-16 07:00:00,66.7324,68.5863,70.4402,68.6352,52.5074,68.5863,0.2655,-0.0891,70.0
2021-02-16 06:00:00,66.7042,68.5968,70.4893,68.5889,52.2776,68.5968,0.1387,-0.1778,69.9
2021-02-16 05:00:00,66.6868,68.6046,70.5224,68.5445,52.5275,68.6046,-0.0149,-0.2569,70.0
2021-02-12 20:00:00,66.6499,68.6183,70.5867,68.4952,46.4904,68.6183,-0.221,-0.3174,67.6
2021-02-12 19:00:00,66.6303,68.6756,70.7209,68.5255,46.7339,68.6756,-0.2364,-0.3416,67.7
2021-02-12 18:00:00,66.618,68.7303,70.8426,68.5535,46.5688,68.7303,-0.2629,-0.3679,67.64
2021-02-12 17:00:00,66.6162,68.7859,70.9556,68.5844,46.7111,68.7859,-0.2867,-0.3941,67.7
2021-02-12 16:00:00,66.6307,68.8359,71.0412,68.6144,46.5236,68.8359,-0.319,-0.421,67.63
2021-02-12 15:00:00,66.64,68.8926,71.1452,68.6478,46.2845,68.8926,-0.3486,-0.4464,67.54
2021-02-12 14:00:00,66.6732,68.9456,71.218,68.6853,46.6261,68.9456,-0.372,-0.4709,67.69
2021-02-12 13:00:00,66.6958,68.9994,71.3031,68.7191,46.5096,68.9994,-0.4118,-0.4956,67.645
2021-02-12 12:00:00,66.7262,69.054,71.3818,68.7555,47.1389,69.054,-0.452,-0.5166,67.925
2021-02-12 11:00:00,66.7295,69.1111,71.4927,68.7836,47.1726,69.1111,-0.5253,-0.5327,67.94
2021-02-12 10:00:00,66.7193,69.1746,71.63,68.8122,45.1463,69.1746,-0.6127,-0.5346,67.15
2021-02-12 09:00:00,66.726,69.2628,71.7996,68.8686,44.0783,69.2628,-0.6349,-0.515,66.75
2021-02-12 08:00:00,66.789,69.3548,71.9206,68.9404,44.4613,69.3548,-0.6133,-0.4851,66.93
2021-02-12 07:00:00,66.8463,69.4449,72.0436,69.0086,43.7673,69.4449,-0.5952,-0.453,66.67
2021-02-12 06:00:00,66.9554,69.5341,72.1128,69.0878,44.3968,69.5341,-0.5369,-0.4174,66.97
2021-02-12 05:00:00,67.0546,69.6166,72.1786,69.1596,43.1368,69.6166,-0.4852,-0.3876,66.5
2021-02-11 20:00:00,67.2224,69.7013,72.1801,69.2498,47.6556,69.7013,-0.3643,-0.3632,68.5
2021-02-11 19:00:00,67.2505,69.7513,72.2521,69.2752,46.5264,69.7513,-0.4083,-0.3629,68.09
2021-02-11 18:00:00,67.3047,69.8088,72.3128,69.3154,46.4433,69.8088,-0.4168,-0.3516,68.06
2021-02-11 17:00:00,67.3606,69.8699,72.3791,69.3579,46.2515,69.8699,-0.4185,-0.3353,67.99
2021-02-11 16:00:00,67.4393,69.924,72.4088,69.4043,46.3214,69.924,-0.4075,-0.3145,68.02
2021-02-11 15:00:00,67.5064,69.9873,72.4681,69.4512,45.7844,69.9873,-0.3906,-0.2912,67.82
2021-02-11 14:00:00,67.5997,70.0511,72.5025,69.5065,45.3544,70.0511,-0.343,-0.2663,67.66
2021-02-11 13:00:00,67.7056,70.1219,72.5383,69.5691,46.7679,70.1219,-0.261,-0.2471,68.28
2021-02-11 12:00:00,67.7461,70.1933,72.6404,69.6128,47.1642,70.1933,-0.2156,-0.2437,68.45
2021-02-11 11:00:00,67.8197,70.2416,72.6635,69.6522,48.9643,70.2416,-0.1718,-0.2507,69.2
2021-02-11 10:00:00,67.8489,70.2829,72.717,69.6676,49.2106,70.2829,-0.1898,-0.2704,69.3
2021-02-11 09:00:00,67.878,70.3213,72.7646,69.68,50.2037,70.3213,-0.2202,-0.2906,69.7
2021-02-11 08:00:00,67.892,70.3543,72.8166,69.6793,48.1457,70.3543,-0.2965,-0.3082,68.9
2021-02-11 07:00:00,67.9463,70.3793,72.8123,69.7058,48.3915,70.3793,-0.3081,-0.3111,69.0
2021-02-10 20:00:00,68.0009,70.4096,72.8183,69.7297,47.868,70.4096,-0.3286,-0.3119,68.8
2021-02-10 19:00:00,68.0677,70.4403,72.8128,69.7612,47.3428,70.4403,-0.3297,-0.3077,68.6
2021-02-10 18:00:00,68.1503,70.4744,72.7985,69.8006,47.9364,70.4744,-0.3059,-0.3022,68.85
2021-02-10 17:00:00,68.2208,70.5079,72.7951,69.8328,47.6783,70.5079,-0.2965,-0.3013,68.75
2021-02-10 16:00:00,68.3011,70.5504,72.7998,69.8695,47.7482,70.5504,-0.2701,-0.3025,68.78
2021-02-10 15:00:00,68.3835,70.5894,72.7952,69.9064,48.1876,70.5894,-0.2355,-0.3106,68.97
2021-02-10 14:00:00,68.4557,70.623,72.7903,69.9382,49.3873,70.623,-0.2072,-0.3294,69.48
2021-02-10 13:00:00,68.4977,70.6447,72.7918,69.9537,50.3456,70.6447,-0.22,-0.36,69.8765
2021-02-10 12:00:00,68.5209,70.6586,72.7964,69.9563,49.4046,70.6586,-0.2735,-0.395,69.49
