date,Lower BBand,Middle BBand,Upper BBand,EMA,RSI,SMA,MACD Signal,MACD,Closing Price
2021-02-16 10:00:00,11.3192,11.5382,11.7573,11.5227,69.2626,11.5382,0.0825,0.1064,11.92
2021-02-16 09:00:00,11.3467,11.5206,11.6945,11.4953,66.0515,11.5206,0.0766,0.0879,11.78
2021-02-16 08:00:00,11.3486,11.5059,11.6632,11.4757,65.0429,11.5059,0.0737,0.0773,11.74
2021-02-12 20:00:00,11.3523,11.4931,11.6339,11.4574,61.1364,11.4931,0.0728,0.0667,11.6
2021-02-12 19:00:00,11.3278,11.4824,11.637,11.4476,60.2154,11.4824,0.0744,0.0665,11.57
2021-02-12 18:00:00,11.2791,11.4687,11.6584,11.4392,59.9093,11.4687,0.0763,0.0683,11.56
2021-02-12 17:00:00,11.2276,11.4537,11.6799,11.4308,59.9093,11.4537,0.0783,0.0706,11.56
2021-02-12 16:00:00,11.1908,11.4397,11.6887,11.4219,59.619,11.4397,0.0803,0.0725,11.55
2021-02-12 15:00:00,11.1549,11.4254,11.6959,11.4131,60.0393,11.4254,0.0822,0.075,11.56
2021-02-12 14:00:00,11.1238,11.4107,11.6977,11.403,59.2052,11.4107,0.084,0.076,11.53
2021-02-12 13:00:00,11.0978,11.3976,11.6974,11.3942,60.758,11.3976,0.0861,0.0792,11.568
2021-02-12 12:00:00,11.0691,11.3816,11.6941,11.3822,60.011,11.3816,0.0878,0.0783,11.54
2021-02-12 11:00:00,11.0383,11.3656,11.6929,11.3713,59.3429,11.3656,0.0902,0.0788,11.515
2021-02-12 10:00:00,11.005,11.3493,11.6936,11.3614,59.9235,11.3493,0.093,0.0809,11.53
2021-02-12 09:00:00,10.9782,11.3329,11.6877,11.3498,58.3478,11.3329,0.096,0.0809,11.47
2021-02-12 08:00:00,10.9408,11.3159,11.6911,11.3415,58.0823,11.3159,0.0998,0.0858,11.46
2021-02-11 18:00:00,10.9155,11.3013,11.687,11.3333,59.5502,11.3013,0.1033,0.0918,11.5
2021-02-11 17:00:00,10.8988,11.2866,11.6745,11.3218,58.5346,11.2866,0.1062,0.0941,11.4599
2021-02-11 16:00:00,10.8857,11.2743,11.6628,11.3123,58.7159,11.2743,0.1092,0.0997,11.465
2021-02-11 15:00:00,10.8744,11.2618,11.6491,11.3018,60.3049,11.2618,0.1116,0.1049,11.5099
2021-02-11 14:00:00,10.8652,11.2471,11.629,11.2874,58.4935,11.2471,0.1132,0.1054,11.435
2021-02-11 13:00:00,10.8526,11.2343,11.616,11.2773,57.078,11.2343,0.1152,0.1122,11.379
2021-02-11 12:00:00,10.8321,11.2208,11.6096,11.2703,58.4933,11.2208,0.1159,0.125,11.4201
2021-02-11 11:00:00,10.8154,11.2061,11.5969,11.2599,62.8909,11.2061,0.1137,0.1352,11.54
2021-02-11 10:00:00,10.8125,11.1886,11.5648,11.2406,62.0984,11.1886,0.1083,0.1341,11.5055
2021-02-11 09:00:00,10.8069,11.1711,11.5354,11.2223,64.9962,11.1711,0.1018,0.1343,11.58
2021-02-10 20:00:00,10.8169,11.1521,11.4874,11.1977,63.2143,11.1521,0.0937,0.125,11.5
2021-02-10 17:00:00,10.8304,11.1398,11.4492,11.1768,65.2202,11.1398,0.0859,0.1194,11.55
